gml_id,fid,name,adresse,oeffnungszeiten,telefon,internet,osm_edit_url,api_features_url
apotheken_nrw.154079382,"154079382",Rosen-Apotheke,"-","Mo-Fr 08:30-13:00,15:00-18:30; Sa 08:30-13:00",+49 2173 62103,https://www.rosen-apotheke-baumberg.de/,https://www.openstreetmap.org/edit?node=54079382%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/154079382.html
apotheken_nrw.160465778,"160465778",Apotheke am Wall,"Wallstraße 16-20, Ahaus","Mo-Fr 08:00-13:00,14:00-18:30; We 08:00-13:00; Sa 08:30-13:00",+49 2561 86060,https://www.apotheke-am-wall.de/,https://www.openstreetmap.org/edit?node=60465778%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/160465778.html
apotheken_nrw.160492380,"160492380",Helle Apotheke,"Priamosstraße 32, Bergheim","Mo-Fr 08:30-18:30; Sa 08:30-13:30; PH off","-","-",https://www.openstreetmap.org/edit?node=60492380%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/160492380.html
apotheken_nrw.161170680,"161170680",Kleeblatt-Apotheke,"Wattenscheider Hellweg 149, Bochum","Mo-Fr 08:00-13:00,14:30-18:30; We 08:00-13:00,15:00-18:30; Sa 08:00-13:00",+49 2327 52361,"-",https://www.openstreetmap.org/edit?node=61170680%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/161170680.html
apotheken_nrw.175137961,"175137961",Enten Apotheke,"Karmelitergasse 2, Wegberg","Mo-Fr 08:00-13:00,14:30-18:30; We 08:00-13:00",+49 2434 2121,https://www.enten-apotheke.de/,https://www.openstreetmap.org/edit?node=75137961%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/175137961.html
apotheken_nrw.175137967,"175137967",Post Apotheke,"-","Mo-Fr 08:30-13:00,14:30-18:30; We 08:30-13:00","-","-",https://www.openstreetmap.org/edit?node=75137967%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/175137967.html
apotheken_nrw.176051405,"176051405",Kurbrunnen Apotheke,"Kurbrunnenstraße 44, Aachen","Mo,Tu 08:30-18:00; We 08:30-14:00; Th,Fr 08:30-18:00",+49 241 503484,"-",https://www.openstreetmap.org/edit?node=76051405%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/176051405.html
apotheken_nrw.176464688,"176464688",Apotheke am Golfplatz,"-","Mo,Tu,Th,Fr 08:30-13:00,15:00-18:30; We,Sa 08:30-13:00",+49 203/76 39 90,http://www.apotheke-am-golfplatz-duisburg.de/,https://www.openstreetmap.org/edit?node=76464688%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/176464688.html
apotheken_nrw.178557117,"178557117",Neue Apotheke,Solinger Straße 10,"-","-","-",https://www.openstreetmap.org/edit?node=78557117%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/178557117.html
apotheken_nrw.180187321,"180187321",Engelbach-Apotheke,"Buchholzstraße 2, Bonn","Mo-Fr 08:30-18:30; We,Sa 08:30-13:00",+49 228 282229,https://www.engelbach-apotheke.de/,https://www.openstreetmap.org/edit?node=80187321%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/180187321.html
apotheken_nrw.181326720,"181326720",Soma-Apotheke,"-","-","-","-",https://www.openstreetmap.org/edit?node=81326720%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/181326720.html
apotheken_nrw.182658536,"182658536",Barbara Apotheke,"Röttgener Straße 128, Bonn","Mo-Fr 08:30-19:00; Sa 08:30-13:00",+49 228 281882,https://www.vietors-apotheken.de/index.php/home/barbara-apotheke-ippendorf,https://www.openstreetmap.org/edit?node=82658536%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/182658536.html
apotheken_nrw.189997088,"189997088",Gruitener Apotheke,"Bahnstraße 23, Haan","Mo,Tu,Th,Fr 08:30-13:00,15:00-18:30; We,Sa 08:30-13:00",+49 2104 60318,https://www.gruitener-apotheke.de/,https://www.openstreetmap.org/edit?node=89997088%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/189997088.html
apotheken_nrw.199238409,"199238409",Forum-Apotheke,"Homberger Straße 71, Moers","-","-","-",https://www.openstreetmap.org/edit?node=99238409%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/199238409.html
apotheken_nrw.225640107,"225640107",Hirsch Apotheke,"Beecker Straße 23, Wegberg","Mo-Fr 08:00-18:30; We 08:00-15:00",+49 2434 4247,https://www.hirsch-apotheke-wegberg.de/,https://www.openstreetmap.org/edit?way=25640107%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/225640107.html
apotheken_nrw.227065252,"227065252",Apotheke,"-","-","-","-",https://www.openstreetmap.org/edit?way=27065252%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/227065252.html
apotheken_nrw.228991820,"228991820",Bären-Apotheke,"Rekumer Straße 18, Haltern am See","Mo-Fr 08:30-12:30,14:30-18:30; We 08:30-12:30; Sa 08:30-13:00","-","-",https://www.openstreetmap.org/edit?way=28991820%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/228991820.html
apotheken_nrw.229060953,"229060953",Arminius Apotheke,"Mittlere Straße 46, Lügde","-",+49 5281 7266,https://www.arminiusapotheke-luegde.de/,https://www.openstreetmap.org/edit?way=29060953%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/229060953.html
apotheken_nrw.235557637,"235557637",Ludgerus-Apotheke,"Amtmann-Daniel-Straße 1, Nordwalde","-","-","-",https://www.openstreetmap.org/edit?way=35557637%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/235557637.html
apotheken_nrw.240776452,"240776452",Germania Apotheke,"Jülicher Straße 66, Aachen","Mo-Fr 08:00-19:00; Sa 08:00-14:00","-","-",https://www.openstreetmap.org/edit?way=40776452%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/240776452.html
apotheken_nrw.241206320,"241206320",West Apotheke,"Schwabenring 2, Minden","Mo-Fr 08:30-13:00,15:00-18:30; Sa 08:30-13:00",+49 571 53880,https://www.west-apotheke-minden-app.de/,https://www.openstreetmap.org/edit?way=41206320%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/241206320.html
apotheken_nrw.241672205,"241672205",Apotheke am Benediktushof,"Poststraße 25, Reken","Mo-Fr 08:30-12:30,14:30-18:30; We 08:30-12:30; Sa 09:00-12:30","-","-",https://www.openstreetmap.org/edit?way=41672205%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/241672205.html
apotheken_nrw.245086140,"245086140",Adler-Apotheke,"Auf dem Brink 1-3, Rödinghausen","-","-","-",https://www.openstreetmap.org/edit?way=45086140%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/245086140.html
apotheken_nrw.247121100,"247121100",St. Rochus Apotheke,"Bahnhofsallee 6, 8, Steinheim","-","-","-",https://www.openstreetmap.org/edit?way=47121100%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/247121100.html
apotheken_nrw.251794208,"251794208",Apotheke Gehlenbeck,"Lindenstraße 35, Lübbecke","Mo-Fr 08:00-13:00, 14:30-18:30; Sa 09:00-13:00","-","-",https://www.openstreetmap.org/edit?way=51794208%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/251794208.html
apotheken_nrw.251812857,"251812857",Hünenbrink-Apotheke,"Ravensberger Straße 37, Lübbecke","Mo-Tu 08:30-13:00, 15:00-18:30;We 08:30-13:00, 14:30-18:00;Th-Fr 08:30-13:00, 15:00-18:30;Sa 08:00-13:00","-","-",https://www.openstreetmap.org/edit?way=51812857%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/251812857.html
apotheken_nrw.253263308,"253263308",Kreuz-Apotheke,"Stockumer Straße 189, Dortmund","Mo-Fr 07:30-18:30; Sa 08:00-13:00","-","-",https://www.openstreetmap.org/edit?way=53263308%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/253263308.html
apotheken_nrw.253367782,"253367782",Funkturm-Apotheke,"Arcostraße 78, Dortmund","Mo-Fr 08:30-13:30, 14:30-18:30, Sa 08:30-13:00",+49 231 25 32 47,https://www.funkturm-apotheke.de/,https://www.openstreetmap.org/edit?way=53367782%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/253367782.html
apotheken_nrw.254586816,"254586816",Stadtapotheke,"Honekamp 3, Drensteinfurt","Mo-Fr 08:00-18:30; Sa 08:00-13:00","-",https://www.die-starken-apotheken.de/apothekenfinder/apotheke-partu/stadt-apotheke,https://www.openstreetmap.org/edit?way=54586816%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/254586816.html
apotheken_nrw.256034904,"256034904",Amts-Apotheke,"Wertherstraße 434, Bielefeld","-","-",https://www.apo-bielefeld.de/,https://www.openstreetmap.org/edit?way=56034904%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/256034904.html
apotheken_nrw.260045715,"260045715",easy Apotheke,Am Falder 28,"Mo-Fr 09:00-20:00; Sa 09:00-18:00","-","-",https://www.openstreetmap.org/edit?way=60045715%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/260045715.html
apotheken_nrw.265288620,"265288620",Aesculap-Apotheke,"Bahnhofstraße 16, Morsbach","Mo-Sa 08:30-13:00; Mo-Fr 14:30-18:30","-","-",https://www.openstreetmap.org/edit?way=65288620%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/265288620.html
apotheken_nrw.265288662,"265288662",Gertrudis-Apotheke,"Waldbröler Straße 21, Morsbach","Mo-Sa 08:15-13:00; Mo-Th 14:00-19:00; Fr 14:00-18:30","-","-",https://www.openstreetmap.org/edit?way=65288662%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/265288662.html
apotheken_nrw.279590056,"279590056",Malteser Apotheke,"Pontstraße 157, Aachen","Mo-Fr 08:30-18:30; Sa 08:30-13:00","-",https://www.malteser-apotheke-aachen.de/,https://www.openstreetmap.org/edit?way=79590056%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/279590056.html
apotheken_nrw.280015946,"280015946",Sonnen Apotheke,"Karnaper Straße 109, Essen","Mo,Tu,Th,Fr 8:00-13:00,14:30-18:30; We,Sa 8:00-13:00",+49 201 380138,https://www.sonnen-apotheke-essen.de/,https://www.openstreetmap.org/edit?way=80015946%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/280015946.html
apotheken_nrw.281722558,"281722558",Burg-Apotheke,"Bernhardstraße 7, Heek","Mo-Fr 08:00-12:30; Mo,Tu,Th,Fr 14:30-18:00, PH off","-",https://www.apotheke-nienborg.de/,https://www.openstreetmap.org/edit?way=81722558%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/281722558.html
apotheken_nrw.283737024,"283737024",St. Pauls-Apotheke,"Jakobstraße 9, Aachen","Mo-Fr 08:30-13:30,14:30-18:30; We 08:30-13:00,15:00-18:30; Sa 08:30-13:00","-",https://st-pauls-apotheke.de/,https://www.openstreetmap.org/edit?way=83737024%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/283737024.html
apotheken_nrw.283846875,"283846875",Apotheke am Luisenhospital,"Boxgraben 85, Aachen","Mo-Fr 08:00-18:30; Sa 10:00-14:00","-","-",https://www.openstreetmap.org/edit?way=83846875%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/283846875.html
apotheken_nrw.285848257,"285848257",Delfin-Apotheke,"Curiestraße 15, Lippstadt","Mo-Fr 08:30-18:30; Sa 08:30-13:00",+49 2941 9795359,https://www.apotheke-lippstadt.com/,https://www.openstreetmap.org/edit?way=85848257%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/285848257.html
apotheken_nrw.286009412,"286009412",Brunnenapotheke,"Landgrafenstraße 50, Troisdorf","Mo,Tu,Th,Fr 08:30-13:00,14:30-18:30; We 08:30-13:00;Sa 09:00-13:00","-","-",https://www.openstreetmap.org/edit?way=86009412%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/286009412.html
apotheken_nrw.288683681,"288683681",Adler-Apotheke,"Unterstraße 2, Bochum","Mo-Fr 08:00-18:30; We,Sa 08:00-13:00",+49 234 287120,https://www.adler-apotheke-langendreer.de/,https://www.openstreetmap.org/edit?way=88683681%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/288683681.html
apotheken_nrw.289625054,"289625054",Glückauf-Apotheke,"Langenbochumer Straße 190, Herten","Mo-Fr 08:00-13:00,15:00-18:30; We 08:00-13:00; Sa 08:30-13:30","-","-",https://www.openstreetmap.org/edit?way=89625054%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/289625054.html
apotheken_nrw.291497281,"291497281",Wittekind-Apotheke,"Bahnhofstraße 53a, Bünde","Mo-Fr 08:00-18:30; Sa 08:30-13:30",+49 5223 2977,https://wittekind-buende.de,https://www.openstreetmap.org/edit?way=91497281%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/291497281.html
apotheken_nrw.292169566,"292169566",Sonnen-Apotheke,"Bielefelder Straße 264, Detmold","Mo,Tu,Th,Fr 08:30-13:00,15:00-18:30; We,Sa 08:30-13:00",+49 5231 66355,https://www.apotheken-umschau.de/apotheken/Deutschland/32758/Detmold-Sonnen-Apotheke.html,https://www.openstreetmap.org/edit?way=92169566%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/292169566.html
apotheken_nrw.293245110,"293245110",Doberg-Apotheke,"Max-Planck-Straße 39, Bünde","-",+49 5223 10544,"-",https://www.openstreetmap.org/edit?way=93245110%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/293245110.html
apotheken_nrw.294884626,"294884626",Rathausapotheke,"Kammerbruchstraße 6, Simmerath","Mo-FR 08:30-18:30; Sa 08:30-14:00",+49 2473 7371,https://www.rathaus-apotheke-kell.de/,https://www.openstreetmap.org/edit?way=94884626%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/294884626.html
apotheken_nrw.296816909,"296816909",Elefanten Apotheke,"Freiheitsstraße 2, Troisdorf","-","-","-",https://www.openstreetmap.org/edit?way=96816909%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/296816909.html
apotheken_nrw.1102779066,"1102779066",Regenbogen Apotheke,"Römerstraße 434, Moers","Mo,Tu,Th 08:00-13:00,14:00-18:30; We 08:00-13:00,15:00-18:30; Fr 08:00-18:30; Sa 08:30-13:30",+49 2841 52404,https://www.regenbogen-apotheke-moers.de/,https://www.openstreetmap.org/edit?node=102779066%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1102779066.html
apotheken_nrw.1102790478,"1102790478",Georg Apotheke,"-","Mo,Tu,Th,Fr 08:00-13:00,14:30-18:30; We 08:00-13:00,15:00-18:30; Sa 08:00-13:00",+49 2841-51019,https://georgapo.de/,https://www.openstreetmap.org/edit?node=102790478%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1102790478.html
apotheken_nrw.1105448172,"1105448172",Engel-Apotheke,"Kardinal-von-Galen-Straße 19, Velen","Mo-Fr 08:15-13:00,14:30-18:30, Sa 08:30-13:00","-","-",https://www.openstreetmap.org/edit?node=105448172%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1105448172.html
apotheken_nrw.1105448179,"1105448179",Andreas-Apotheke,"-","Mo-Fr 08:00-19:00, Sa 08:30-13:00","-","-",https://www.openstreetmap.org/edit?node=105448179%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1105448179.html
apotheken_nrw.1111192740,"1111192740",Apotheke am Sonnenwall,"Sonnenwall 10, Duisburg","Mo,Tu,Th,Fr 08:00-18:30; We 08:00-18:00; Sa 09:00-17:00; PH off",+49 203 22363,https://www.sonnenwall-apotheke.de/,https://www.openstreetmap.org/edit?node=111192740%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1111192740.html
apotheken_nrw.1111199469,"1111199469",Löwen-Apotheke,"Königstraße 54, Duisburg","Mo-Fr 08:30-18:00; Sa 09:30-14:00",+49 203/2 00 91,https://www.loewen-apotheke-duisburg.de/,https://www.openstreetmap.org/edit?node=111199469%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1111199469.html
apotheken_nrw.1111199539,"1111199539",Mercator Apotheke,"Mercatorstraße 10, Duisburg","Mo,Tu,Th,Fr 08:00-18:30; We 08:00-13:30; Sa 09:00-13:00",+49 203 - 25970,https://www.mercator-apotheke.de/,https://www.openstreetmap.org/edit?node=111199539%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1111199539.html
apotheken_nrw.1126136208,"1126136208",Nord-Apotheke,"Nordstraße 1 A, Jülich","Mo-Fr 08:00-18:30; Sa 08:00-13:00","-",https://www.nord-apotheke-juelich.de/,https://www.openstreetmap.org/edit?node=126136208%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1126136208.html
apotheken_nrw.1126136217,"1126136217",Rur-Apotheke,"Kleine Kölnstraße 16, Jülich","Mo-Fr 08:00-18:30;Sa 08:00-14:30","-","-",https://www.openstreetmap.org/edit?node=126136217%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1126136217.html
apotheken_nrw.1139550219,"1139550219",Vital-Apotheke im Marktkauf,"Deichkamp 13, Herford","-","-","-",https://www.openstreetmap.org/edit?node=139550219%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1139550219.html
apotheken_nrw.1139562136,"1139562136",Uhland-Apotheke,"-","Mo-Fr 08:00-19:00; Sa 08:30-13:00","-",https://www.uhland-apotheke-herford.de/,https://www.openstreetmap.org/edit?node=139562136%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1139562136.html
apotheken_nrw.1166786174,"1166786174",Rosen Apotheke,Friedrich-Hegel-Straße 116,"Mo,Tu,Th,Fr 08:00-13:00,15:00-18:30; We 08:00-13:00; Sa 09:00-13:00",+49 2304 / 83100,https://www.rosenapo-schwerte.de/,https://www.openstreetmap.org/edit?node=166786174%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1166786174.html
apotheken_nrw.1175880035,"1175880035",Wittekind-Apotheke,"Portastraße 41, Porta Westfalica","Mo-Tu, Th-Fr 08:00-19:00; We, Sa 08:00-13:00; Su off","-",https://www.wittekindapotheke-porta.de/,https://www.openstreetmap.org/edit?node=175880035%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1175880035.html
apotheken_nrw.1198443300,"1198443300",Storchen-Apotheke,"Castroper Straße 213, Bochum","Mo-Fr 08:30-18:30; Sa 08:30-13:00",+49 234 591991,https://www.kadura.de/,https://www.openstreetmap.org/edit?node=198443300%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1198443300.html
apotheken_nrw.1202695614,"1202695614",Iris-Apotheke,Sperberstraße 16,"-","-","-",https://www.openstreetmap.org/edit?node=202695614%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1202695614.html
apotheken_nrw.1203949150,"1203949150",Lintel's Stifts-Apotheke,"Adelheidisstraße 40, Bonn","Mo,Tu,Th,Fr 08:30-13:00,14:30-18:30; We 08:30-13:00,15:00-18:30; Sa 08:30-13:00",+49 228 464620,https://www.lintels-stifts-apotheke.de/,https://www.openstreetmap.org/edit?node=203949150%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1203949150.html
apotheken_nrw.1205175604,"1205175604",Busch-Apotheke Kesselbrink,"Kesselbrink 3, Bielefeld","Mo-Fr 08:30-18:30, Sa 09:00-14:00",+49-521-64389,http://www.busch-apotheken.de,https://www.openstreetmap.org/edit?node=205175604%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1205175604.html
apotheken_nrw.1208722045,"1208722045",Farma-Plus Apotheke,"Am Bahnhof 10, Wegberg",Mo-Sa 08:30-19:30,+49 2434 9936880,https://farma-plus-wegberg.de/,https://www.openstreetmap.org/edit?node=208722045%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1208722045.html
apotheken_nrw.1209221507,"1209221507",Rosen Apotheke,"Wedauer Markt 1, Duisburg","Mo,Tu,Th,Fr 08:30-13:00,15:00-18:30; We,Sa 08:30-13:00",+49 203/72 04 12,https://www.apotheken.de/club/47279/rosen-apotheke/,https://www.openstreetmap.org/edit?node=209221507%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1209221507.html
apotheken_nrw.1210532343,"1210532343",Ludgeri Apotheke,"-","-","-","-",https://www.openstreetmap.org/edit?node=210532343%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1210532343.html
apotheken_nrw.1215233964,"1215233964",Linden-Apotheke,Vorster Straße 536,"Mo-Fr 08:30-13:00,14:30-18:30; We,Sa 08:30-13:00","-","-",https://www.openstreetmap.org/edit?node=215233964%26editor=id,https://geo.kreis-viersen.de/ows/osm-daten/wfs3/collections/apotheken_nrw/items/1215233964.html
