GENESIS-Tabelle: 47311-0001
Unternehmenskennzahlen zur Versicherungswirtschaft:;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftszweige;;;;;;;;;;;;;;
Statistik d.Versicherungen,Pensionskassen u.-fonds;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;
;;;Unternehmen;Gebuchte Bruttobeiträge;Produktionswert;Bruttowertschöpfung zu Faktorkosten;Bruttobetriebsüberschuss;Waren- und Dienstleistungskäufe;Aufwendungen für Leiharbeitnehmer;Personalaufwendungen;Löhne und Gehälter;Sozialversicherungskosten;Tätige Personen;Lohn- und Gehaltsempfänger in Vollzeiteinheiten
2012;WZ08-651;Versicherungen;637;186453;58995;11407;2055;47588;33;9352;7509;1843;142099;129923
2012;WZ08-6511;Lebensversicherungen;96;83613;17696;381;-1992;17315;8;2373;1904;469;26605;24336
2012;WZ08-6512;Nichtlebensversicherungen;541;102840;41299;11026;4047;30273;25;6979;5604;1375;115494;105587
2012;WZ08-65121;Krankenversicherungen;70;35647;.;.;.;.;4;1701;1372;329;37061;34096
2012;WZ08-65122;Schaden- und Unfallversicherungen;471;67193;.;.;.;.;21;5278;4232;1045;78434;71491
2012;WZ08-652;Rückversicherungen;32;51053;28943;8004;6104;20939;8;1900;1299;601;11661;11033
2012;WZ08-653;Pensionskassen und Pensionsfonds;194;7145;1907;1272;1168;635;0;104;79;25;1673;1433
2012;WZ08-653-01;Pensionskassen;164;6314;.;.;.;.;0;102;78;25;1654;1418
2012;WZ08-653-02;Pensionsfonds;30;831;.;.;.;.;0;1;1;0;19;15
2013;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;848;251140;89028;23382;11706;65646;36;11676;9077;2599;158308;145637
2013;WZ08-651;Versicherungen;625;192688;59446;13920;4264;45526;27;9656;7677;1978;144889;133645
2013;WZ08-6511;Lebensversicherungen;93;86965;19636;2571;219;17065;7;2352;1871;481;27900;26048
2013;WZ08-6512;Nichtlebensversicherungen;532;105723;39810;11349;4045;28461;20;7304;5806;1497;116989;107597
2013;WZ08-65121;Krankenversicherungen;70;35958;.;.;.;.;3;1784;1429;354;37012;34292
2013;WZ08-65122;Schaden- und Unfallversicherungen;462;69765;.;.;.;.;17;5520;4377;1143;79977;73305
2013;WZ08-652;Rückversicherungen;31;51154;27598;8120;6203;19478;9;1917;1318;599;11748;10536
2013;WZ08-653;Pensionskassen und Pensionsfonds;192;7298;1984;1342;1239;642;0;103;82;22;1671;1456
2013;WZ08-653-01;Pensionskassen;161;6555;.;.;.;.;0;102;81;22;1662;1448
2013;WZ08-653-02;Pensionsfonds;31;743;.;.;.;.;0;1;1;0;9;8
2014;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;1408;258096;91246;18991;7453;72255;37;11538;8926;2612;155362;142548
2014;WZ08-651;Versicherungen;1192;197762;63164;13967;4381;49197;27;9586;7650;1936;142983;131023
2014;WZ08-6511;Lebensversicherungen;659;89874;18032;997;-1223;17035;5;2220;1765;455;26256;24025
2014;WZ08-6512;Nichtlebensversicherungen;533;107888;45132;12970;5604;32162;21;7366;5885;1481;116727;106998
2014;WZ08-65121;Krankenversicherungen;67;36211;.;.;.;.;2;1738;1398;340;35808;33253
2014;WZ08-65122;Schaden- und Unfallversicherungen;466;71677;.;.;.;.;19;5629;4487;1141;80919;73745
2014;WZ08-652;Rückversicherungen;28;52479;26363;3885;2044;22478;10;1841;1189;652;10674;10039
2014;WZ08-653;Pensionskassen und Pensionsfonds;188;7856;1719;1139;1028;580;0;111;86;25;1705;1486
2014;WZ08-653-01;Pensionskassen;157;6713;.;.;.;.;0;109;85;24;1695;1477
2014;WZ08-653-02;Pensionsfonds;31;1143;.;.;.;.;0;2;1;1;10;9
2015;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;1358;268378;102024;24137;11563;77887;41;12573;9306;3267;156095;141396
2015;WZ08-651;Versicherungen;1142;199612;67174;15679;5632;51495;29;10047;7936;2111;143319;130020
2015;WZ08-6511;Lebensversicherungen;632;87501;21086;3366;1077;17720;4;2289;1795;494;26012;23553
2015;WZ08-6512;Nichtlebensversicherungen;510;112111;46088;12313;4555;33775;25;7758;6141;1617;117307;106467
2015;WZ08-65121;Krankenversicherungen;64;36690;.;.;.;.;3;1853;1491;363;35278;32567
2015;WZ08-65122;Schaden- und Unfallversicherungen;446;75421;.;.;.;.;22;5905;4650;1254;82029;73900
2015;WZ08-652;Rückversicherungen;30;59268;32661;6956;4548;25705;11;2408;1278;1130;11023;9849
2015;WZ08-653;Pensionskassen und Pensionsfonds;186;9498;2189;1502;1383;687;0;119;92;27;1753;1527
2015;WZ08-653-01;Pensionskassen;155;6604;.;.;.;.;0;117;91;27;1742;1517
2015;WZ08-653-02;Pensionsfonds;31;2894;.;.;.;.;0;1;1;0;11;10
2016;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;1300;268829;99662;23555;12569;76107;235;10985;9120;1866;160271;140866
2016;WZ08-651;Versicherungen;1087;199729;65528;13704;4287;51824;213;9417;7781;1635;147591;129362
2016;WZ08-6511;Lebensversicherungen;584;86025;17573;1294;-787;16279;110;2081;1737;343;27166;23199
2016;WZ08-6512;Nichtlebensversicherungen;503;113704;47955;12410;5074;.;103;7336;6044;1292;120425;106163
2016;WZ08-65121;Krankenversicherungen;63;37181;.;.;.;.;3;1784;1466;318;40447;32094
2016;WZ08-65122;Schaden- und Unfallversicherungen;440;76552;.;.;.;.;100;5553;4579;974;79978;74069
2016;WZ08-652;Rückversicherungen;31;59524;32223;8467;7015;23756;15;1452;1244;208;10892;9900
2016;WZ08-653;Pensionskassen und Pensionsfonds;182;9576;1911;1384;1267;527;7;117;95;23;1788;1604
2016;WZ08-653-01;Pensionskassen;153;6880;.;.;.;.;5;115;93;22;1767;1583
2016;WZ08-653-02;Pensionsfonds;29;2695;.;.;.;.;2;2;2;0;21;21
2017;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;1288;277113;101577;25593;13833;75984;1126;11760;9036;2723;155666;138107
2017;WZ08-651;Versicherungen;1075;207574;65642;13715;4425;51927;1102;9290;7457;1833;139307;123650
2017;WZ08-6511;Lebensversicherungen;578;86010;18897;3489;1375;15408;135;2114;1673;441;26332;21963
2017;WZ08-6512;Nichtlebensversicherungen;497;121564;46745;10226;3050;36519;968;7176;5784;1392;112975;101687
2017;WZ08-65121;Krankenversicherungen;63;38968;.;.;.;.;12;1868;1533;336;35460;31093
2017;WZ08-65122;Schaden- und Unfallversicherungen;434;82597;.;.;.;.;956;5308;4252;1056;77515;70594
2017;WZ08-652;Rückversicherungen;31;59858;33419;9901;7554;23518;16;2347;1485;862;14564;12896
2017;WZ08-653;Pensionskassen und Pensionsfonds;182;9681;2516;1977;1854;539;7;123;94;28;1795;1561
2017;WZ08-653-01;Pensionskassen;151;7303;.;.;.;.;4;120;92;28;1771;1537
2017;WZ08-653-02;Pensionsfonds;31;2378;.;.;.;.;3;2;2;0;24;24
2018;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;1278;293027;107280;28533;16243;78747;367;12290;9245;3045;155599;137786
2018;WZ08-651;Versicherungen;1063;215182;70309;16691;7089;53618;345;9602;7619;1983;138771;122664
2018;WZ08-6511;Lebensversicherungen;571;88243;19183;3593;1432;15590;156;2161;1629;532;25292;21109
2018;WZ08-6512;Nichtlebensversicherungen;492;126940;51126;13098;5657;38028;188;7441;5990;1451;113479;101555
2018;WZ08-65121;Krankenversicherungen;63;39698;.;.;.;.;34;1975;1604;371;35530;31234
2018;WZ08-65122;Schaden- und Unfallversicherungen;429;87242;.;.;.;.;155;5466;4386;1080;77949;70321
2018;WZ08-652;Rückversicherungen;32;60349;32643;8030;5469;24613;15;2561;1530;1031;15064;13609
2018;WZ08-653;Pensionskassen und Pensionsfonds;183;17495;4328;3812;3685;516;8;127;96;31;1764;1513
2018;WZ08-653-01;Pensionskassen;150;7213;.;.;.;.;5;125;95;31;1750;1503
2018;WZ08-653-02;Pensionsfonds;33;10282;.;.;.;.;3;1;1;0;14;10
2019;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;1247;308233;106235;21263;8574;84972;456;12689;9601;3088;153534;137116
2019;WZ08-651;Versicherungen;1034;230254;68533;11553;1922;56980;431;9631;7762;1869;135840;121593
2019;WZ08-6511;Lebensversicherungen;547;98186;17364;725;-1357;16639;141;2082;1656;425;22830;18959
2019;WZ08-6512;Nichtlebensversicherungen;487;132068;51169;10828;3279;40341;290;7549;6106;1443;113010;102634
2019;WZ08-65121;Krankenversicherungen;59;40882;.;.;.;.;13;1937;1590;347;35687;32434
2019;WZ08-65122;Schaden- und Unfallversicherungen;428;91186;.;.;.;.;277;5612;4516;1097;77323;70200
2019;WZ08-652;Rückversicherungen;30;68522;35328;7922;4991;27406;17;2931;1743;1188;15917;13990
2019;WZ08-653;Pensionskassen und Pensionsfonds;183;9456;2374;1788;1661;586;8;127;95;31;1777;1533
2019;WZ08-653-01;Pensionskassen;150;6834;.;.;.;.;4;125;94;31;1769;1526
2019;WZ08-653-02;Pensionsfonds;33;2622;.;.;.;.;3;1;1;0;8;7
2020;WZ08-65;Versicherungen, Rückversicherungen, Pensionskassen;1176;324992;111743;23890;10965;87853;728;12925;9907;3018;153054;138354
2020;WZ08-651;Versicherungen;963;237023;72091;14055;4251;58036;693;9804;7886;1918;132177;119132
2020;WZ08-6511;Lebensversicherungen;494;98581;18552;2497;421;16055;381;2076;1649;427;21752;18286
2020;WZ08-6512;Nichtlebensversicherungen;469;138442;53539;11558;3830;41981;312;7728;6236;1491;110425;100846
2020;WZ08-65121;Krankenversicherungen;57;42725;.;.;.;.;15;1925;1571;354;33385;30479
2020;WZ08-65122;Schaden- und Unfallversicherungen;417;95717;.;.;.;.;297;5803;4665;1138;77040;70367
2020;WZ08-652;Rückversicherungen;29;73745;36907;7641;4650;29266;16;2991;1919;1072;19122;17725
2020;WZ08-653;Pensionskassen und Pensionsfonds;184;14224;2745;2194;2064;551;19;130;102;28;1755;1497
2020;WZ08-653-01;Pensionskassen;150;6871;.;.;.;.;16;129;101;28;1747;1495
2020;WZ08-653-02;Pensionsfonds;34;7353;.;.;.;.;4;1;1;0;8;2
__________
"Quelle:
Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin),
Bonn und Frankfurt am Main"
© Statistisches Bundesamt (Destatis), 2023
Stand: 31.03.2024 / 00:52:28
