FID,geom,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,building,building:levels,name,roof:shape,type,website,wikidata,osm_id,osm_type,editlink,tutoriallink,email,fax,phone,site,wheelchair,contact:website,isced:level,ref,school:de,source,source:position,addr:suburb,operator,contact:email,contact:facebook,contact:fax,contact:phone,toilets:wheelchair,note,old_name,old_website,operator:type,short_name,wikipedia,addr:place,religion,grades,landuse,alt_name,url,barrier,denomination,name:etymology:wikidata,building:roof,wikimedia_commons,leisure,sport,source:geometry,created_by,check_date,loc_name,fixme,name:etymology:wikipedia,start_date,postal_code,opening_hours,wheelchair:description,building:roof:colour,roof:levels,source:housenumber,description,heritage:website,historic,removed:phone,addr:housename,school,building:first_floor_high,building:waterproof_bulk,source:addr,height,source:address,building:colour,name:en,gesamtschule,surface,construction,fee,operator:website,contact:instagram,internet_access,roof:colour,school:gender,designation,orientierungsstufe,wikipedia:de,building:energy_standard,comment,min_age,polling_station,shelter,access,access:conditional,layer,ele,building:part,name:de,name:lt,level,last_check,office,tennant,sub_ref
OSM_MRN_amenity_school_4326_Point.11,POINT (8.530572425 49.4059046875),Brühl,DE,5,68782,Ormessonstraße,school,yes,,Schillerschule,,multipolygon,,,4141641,relation,https://www.openstreetmap.org/relation/4141641,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.12,POINT (8.530937673076922 49.40529574230769),Brühl,DE,,68782,Ormessonstraße,school,yes,,Schillerschule,,multipolygon,,,4141647,relation,https://www.openstreetmap.org/relation/4141647,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.13,POINT (8.736866766666665 49.71238455),Lautertal (Odenwald),,18,64686,Heidenbergstraße,school,,,Mittelpunktschule Gadernheim,,,,,4358872,way,https://www.openstreetmap.org/way/4358872,https://learnosm.org/de/beginner/,,,,,no,http://web57.hibbert.kundenserver42.de/,1;2A,3380,Grundschule;Hauptschule;Realschule,bs-hessen,osm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.14,POINT (8.56385815 49.642918783333336),,,,,,school,,,Werner-von-Siemens-Schule,,,,,4642973,way,https://www.openstreetmap.org/way/4642973,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.15,POINT (8.4158481 49.661250714285714),Lampertheim,DE,14,68623,Balthasar-Neumann-Straße,school,,,Nibelungenschule,,,,,4698126,way,https://www.openstreetmap.org/way/4698126,https://learnosm.org/de/beginner/,,,,,,,1;2A,3316,Grundschule;Hauptschule,bs-hessen,osm,Hofheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.16,POINT (8.6594363 49.497372999999996),,,7,,Johann-Sebastian-Bach-Straße,school,,,Martin-Stöhr-Grundschule,,,https://www.martin-stoehr-schule.de/,,5030484,way,https://www.openstreetmap.org/way/5030484,https://learnosm.org/de/beginner/,info@martin-stoehr-schule.de,+49 6201 595115,+49 6201 59510,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.17,POINT (9.3570885 49.58487159333334),Walldürn,,11,74731,Theodor-Heuss-Ring,school,school,,Konrad-von-Dürn-Realschule,,multipolygon,,,5175535,relation,https://www.openstreetmap.org/relation/5175535,https://learnosm.org/de/beginner/,,,,,,,,,,,,,Stadt Walldürn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.18,POINT (9.094635966666665 49.35437368888889),Obrigheim,DE,2,74847,Schubertstraße,school,yes,,Realschule Obrigheim,,multipolygon,,,5713917,relation,https://www.openstreetmap.org/relation/5713917,https://learnosm.org/de/beginner/,,,,,,https://www.rs-obrigheim.de/,,,,,,,,poststelle-rs@rs-obrigheim.schule.bwl.de,https://de-de.facebook.com/Realschule-Obrigheim-RSO-128866087191556/,+49 6261 670802,+49 6261 670800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.19,POINT (9.094327045454547 49.35388197272727),Obrigheim,DE,8,74847,Schulstraße,school,yes,,Gemeinschaftsschule Obrigheim,,multipolygon,,,5713925,relation,https://www.openstreetmap.org/relation/5713925,https://learnosm.org/de/beginner/,,,,,,https://gms-obrigheim.de/,,,,,,,,info@ghsverwaltung.de,,+49 6261 670862,+49 6261 670860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.20,POINT (8.795235237499998 49.48561406874999),,,7,,Rathausstraße,school,,3,Grundschule Heiligkreuzsteinach,,site,http://www.gs-hks.hd.schule-bw.de/,,6118645,relation,https://www.openstreetmap.org/relation/6118645,https://learnosm.org/de/beginner/,,,,,,,,,,HiRes aerial imagery;data LGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.21,POINT (8.776801292105265 49.352211626315786),,,,,,school,,,Kurpfalz-Internat,,multipolygon,https://www.kurpfalz-internat.de/,,7254148,relation,https://www.openstreetmap.org/relation/7254148,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.22,POINT (8.704264320000002 49.41494084999999),,,,,,school,,,Heidelberg College,,multipolygon,https://www.heidelberg-college.de/,,7668463,relation,https://www.openstreetmap.org/relation/7668463,https://learnosm.org/de/beginner/,,,,,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.23,POINT (8.474859250000002 49.55038821333332),Mannheim,DE,2-4,68307,Lötzener Weg,school,,,Johanna-Geissmar-Gymnasium,,multipolygon,https://www.jgg-mannheim.de/,,8682983,relation,https://www.openstreetmap.org/relation/8682983,https://learnosm.org/de/beginner/,,,,,,,,,,,,,Stadt Mannheim,,,,,,2014-02-01 Namenänderung von Peter-Petersen-Gymnasium auf Johanna-Geissmar-Gymnasium,Peter-Petersen-Gymnasium,http://www.ppg-mannheim.de/,public,JGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.24,POINT (8.683890089516126 49.29652077580644),,,,,,school,,,Ottheinrich-Gymnasium,,site,https://www.ohgw.de,,8850926,relation,https://www.openstreetmap.org/relation/8850926,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,OHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.25,POINT (8.682011120000002 49.29670142),,,,,,school,,,Bertha Benz Realschule,,multipolygon,https://www.realschule-wiesloch.de/,,8850927,relation,https://www.openstreetmap.org/relation/8850927,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.26,POINT (8.21120885 49.23903447500001),Hochstadt (Pfalz),,112,76879,Hauptstraße,school,school,,Hainbachschule,,multipolygon,,,11200824,relation,https://www.openstreetmap.org/relation/11200824,https://learnosm.org/de/beginner/,,,+4963471531,,,,1,18786,Grundschule,,,,Verbandsgemeinde Offenbach an der Queich,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.27,POINT (8.123526808333335 49.27784555833333),Edenkoben,,1,67480,Schillerstraße,school,school,,Berufsbildende Schule SÜW Standort Edenkoben,,multipolygon,,,11201199,relation,https://www.openstreetmap.org/relation/11201199,https://learnosm.org/de/beginner/,,,,,,,3B,63678,Berufsbildende Schule,,,,Landkreis Südliche Weinstraße,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.28,POINT (8.42689005625 49.47812331041667),,,10,67059,Freiastraße,school,school,,Theodor-Heuss-Gymnasium,,multipolygon,http://www.thg-lu.de/,Q2417212,12454474,relation,https://www.openstreetmap.org/relation/12454474,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,https://de.wikipedia.org/wiki/Theodor-Heuss-Gymnasium_(Ludwigshafen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.29,POINT (8.425905215789472 49.47749428070177),,,,,,school,school,,Anne-Frank-Realschule,,multipolygon,https://www.annefrankrealschule.de/,,12454475,relation,https://www.openstreetmap.org/relation/12454475,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.30,POINT (8.693544737499998 49.41096563437499),,,,,,school,,,Kurfürst-Friedrich-Gymnasium,,multipolygon,https://www.kfg-heidelberg.de,Q1793039,13561009,relation,https://www.openstreetmap.org/relation/13561009,https://learnosm.org/de/beginner/,,,+49 6221 5832150,,,,,,,,,,,,,,,,,,,,KFG,https://de.wikipedia.org/wiki/Kurfürst-Friedrich-Gymnasium_Heidelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.31,POINT (8.653333038461538 49.541471276923076),Weinheim,,60,69469,Breslauer Straße,school,,,Dietrich-Bonhoeffer-Schule,,,http://www.dbs-weinheim.de/,Q1223630,13793561,way,https://www.openstreetmap.org/way/13793561,https://learnosm.org/de/beginner/,,,,,limited,,,,,,,,,,,,,,,Multschule,,,,https://de.wikipedia.org/wiki/Dietrich-Bonhoeffer-Schule_Weinheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.32,POINT (8.46028689230769 49.48609631923076),Mannheim,,4,68159,,school,,,Ursulinen-Gymnasium,,multipolygon,https://www.ursulinen-gymnasium.de/,,13838072,relation,https://www.openstreetmap.org/relation/13838072,https://learnosm.org/de/beginner/,info@ursulinen-gymnasium.de,,,,yes,,,,,,,,Schulstiftung der Erzdiözese Freiburg,,,,,no,,,,private,,,A4,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.33,POINT (8.600547330000001 49.265481799999996),St. Leon-Rot,,,68789,Schulstraße,school,,,Grundschule Mönchsbergschule,,multipolygon,https://www.moenchsbergschule.de/impressum.html,,16358897,relation,https://www.openstreetmap.org/relation/16358897,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.34,POINT (8.828854733333332 49.566487309523815),Wald-Michelbach,,20,69483,Forsthausstraße,school,,,Überwald-Gymnasium,,multipolygon,https://www.ueberwald-gymnasium.de/,,17251735,relation,https://www.openstreetmap.org/relation/17251735,https://learnosm.org/de/beginner/,ueberwald-gymnasium@kreis-bergstrasse.de,,,,,,2A;3A,5154,Gymnasium,,bs-hessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.35,POINT (8.83159853888889 49.56643441666667),Wald-Michelbach,,2,69483,Ringstraße,school,,,Eugen-Bachmann-Schule,,multipolygon,https://www.eugen-bachmann-schule.de/,,17252106,relation,https://www.openstreetmap.org/relation/17252106,https://learnosm.org/de/beginner/,,,,,,,2A,3353,Hauptschule;Realschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.36,POINT (8.8192143375 49.57851425624999),Wald-Michelbach,,31,69483,Birkenweg,school,,,Drachenschule,,multipolygon,https://www.drachenschuleodenwald.de/,,17252799,relation,https://www.openstreetmap.org/relation/17252799,https://learnosm.org/de/beginner/,,,,,,,2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.37,POINT (8.699894445454545 49.287434045454546),,,41,69168,Johann-Philipp-Bronner-Straße,school,,,Maria-Sibylla-Merian-Grundschule Wiesloch,,,,,18350508,way,https://www.openstreetmap.org/way/18350508,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria-Sibylla-Merian Schule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.38,POINT (8.576740133333333 49.380110650000006),Schwetzingen,,2,68723,Moltkestraße,school,,,Südstadtschule,,,https://www.suedstadtschule-schwetzingen.de/,,24205695,way,https://www.openstreetmap.org/way/24205695,https://learnosm.org/de/beginner/,,,,,no,,,,,,,,,,,,,,,,,,,,,,1-4,,,http://www.suedstadt-schule.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.39,POINT (8.45006108 49.68457006),,,,,,school,,,Schule in den Weschnitzauen,,,,,24367555,way,https://www.openstreetmap.org/way/24367555,https://learnosm.org/de/beginner/,,,,,,,,,,extrapolated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.40,POINT (8.569394142857142 49.4743077142857),,,,,,school,,,Schloss-Schule Ilvesheim,,,,,24537741,way,https://www.openstreetmap.org/way/24537741,https://learnosm.org/de/beginner/,,,,,,,0-2,,,,,,Land Baden-Württemberg,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.41,POINT (8.648837550000001 49.425315203124995),Heidelberg,,2-4,69123,Klostergasse,school,,,Elisabeth von Thadden-Schule,,,https://elisabeth-von-thadden-schule.de,Q19841944,24608070,way,https://www.openstreetmap.org/way/24608070,https://learnosm.org/de/beginner/,,,,,limited,,,,,local knowledge;streetlevel imagery,,,Schulstiftung der Evangelischen Landeskirche in Baden,,,,,,,,,,,https://de.wikipedia.org/wiki/Elisabeth-von-Thadden-Schule,,christian,,,,,,protestant,Q70670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.42,POINT (8.568141918750001 49.4731107),,,,,,school,,,Schloss-Schule Ilvesheim,,,,,24652742,way,https://www.openstreetmap.org/way/24652742,https://learnosm.org/de/beginner/,,,,,,,0-2,,,,,,Land Baden-Württemberg,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.43,POINT (8.632803633333332 49.43967318888888),,,,,,school,,,Waldorfschule Heidelberg,,,,,24824486,way,https://www.openstreetmap.org/way/24824486,https://learnosm.org/de/beginner/,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.44,POINT (8.677564514285713 49.41627892857142),Heidelberg,,23,69120,Humboldtstraße,school,yes,,Bunsen-Gymnasium,,,https://dienste.bunsengymnasium.de/,Q1009704,25240441,way,https://www.openstreetmap.org/way/25240441,https://learnosm.org/de/beginner/,,,,,yes,,,,,,,,,,,,,,,,,,,https://de.wikipedia.org/wiki/Bunsen-Gymnasium_Heidelberg,,,,,,,,,Q71031,crosspitched,File:Bunsen-Gymnasium Heidelberg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.45,POINT (8.586703333333332 49.395059866666664),Plankstadt,,12,68723,Antoniusweg,school,,,Humboldt-Schule,,,https://www.humboldtschule-plankstadt.de/,,25334709,way,https://www.openstreetmap.org/way/25334709,https://learnosm.org/de/beginner/,,,,,,,,,Grundschule;Hauptschule;Werkrealschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.46,POINT (8.46950705 49.5962689),Lampertheim,DE,28,68623,Kaiserstraße,school,,,Schillerschule,,,,Q116514497,25441496,way,https://www.openstreetmap.org/way/25441496,https://learnosm.org/de/beginner/,,,,,no,,1,3321,Grundschule,bs-hessen,osm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.47,POINT (8.67370605 49.681658),Bensheim,,23,64625,Hambacher Straße,school,,,Märkerwaldschule,,,,,25557693,way,https://www.openstreetmap.org/way/25557693,https://learnosm.org/de/beginner/,,,,,,http://www.maerkerwaldschule.de/,1,3384,Grundschule,bs-hessen,osm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.48,POINT (8.609944741666665 49.513822733333335),Heddesheim,,43,68542,Rheinstraße,school,,,Karl-Drais-Gemeinschaftsschule,,,https://www.karl-drais-schule.de,,25801998,way,https://www.openstreetmap.org/way/25801998,https://learnosm.org/de/beginner/,sekretariat-heddesheim@karl-drais-schule.de,,+49 6203 4039662,,,,,,,,,,Gemeinde Heddesheim,,,,,,,,,public,,,,,5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.49,POINT (8.627904175 49.263025150000004),St. Leon-Rot,DE,6,68789,Wiesenstraße,school,yes,,Sporthalle Rot,,,,,26006390,way,https://www.openstreetmap.org/way/26006390,https://learnosm.org/de/beginner/,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports_centre,multi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.50,POINT (8.7563432 49.41955672499999),,,,,,school,,,Neckarschule,,,https://www.grundschule-ziegelhausen.de/,,27072584,way,https://www.openstreetmap.org/way/27072584,https://learnosm.org/de/beginner/,,,,,limited,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,HiRes aerial imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.51,POINT (8.618395584615383 49.69729351538462),Bensheim,DE,2,64625,Weserstraße,school,,,Schillerschule,,,,,27133038,way,https://www.openstreetmap.org/way/27133038,https://learnosm.org/de/beginner/,,,,,yes,,1-2A,3363,Grundschule;Hauptschule;Realschule,bs-hessen,osm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_school_4326_Point.52,POINT (8.371723288888889 49.45641388888888),,,,,,school,,,Alfred-Delp-Schule,,,https://www.ludwigshafen.de/lebenswert/bildung/schulen/grundschulen/grundschulen-mit-schulwegplaenen,,28138861,way,https://www.openstreetmap.org/way/28138861,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
